STATECD_FIA,COUNTYCD,FIPS,COUNTY_NAME,FIA_SU,STATECD_NWOS
1,1,1001,Autauga,6,1
1,3,1003,Baldwin,5,1
1,5,1005,Barbour,6,1
1,7,1007,Bibb,3,1
1,9,1009,Blount,2,1
1,11,1011,Bullock,6,1
1,13,1013,Butler,6,1
1,15,1015,Calhoun,2,1
1,17,1017,Chambers,6,1
1,19,1019,Cherokee,2,1
1,21,1021,Chilton,6,1
1,23,1023,Choctaw,4,1
1,25,1025,Clarke,4,1
1,27,1027,Clay,2,1
1,29,1029,Cleburne,2,1
1,31,1031,Coffee,6,1
1,33,1033,Colbert,1,1
1,35,1035,Conecuh,4,1
1,37,1037,Coosa,2,1
1,39,1039,Covington,5,1
1,41,1041,Crenshaw,6,1
1,43,1043,Cullman,2,1
1,45,1045,Dale,6,1
1,47,1047,Dallas,6,1
1,49,1049,DeKalb,1,1
1,51,1051,Elmore,6,1
1,53,1053,Escambia,5,1
1,55,1055,Etowah,2,1
1,57,1057,Fayette,3,1
1,59,1059,Franklin,1,1
1,61,1061,Geneva,6,1
1,63,1063,Greene,3,1
1,65,1065,Hale,3,1
1,67,1067,Henry,6,1
1,69,1069,Houston,6,1
1,71,1071,Jackson,1,1
1,73,1073,Jefferson,2,1
1,75,1075,Lamar,3,1
1,77,1077,Lauderdale,1,1
1,79,1079,Lawrence,1,1
1,81,1081,Lee,6,1
1,83,1083,Limestone,1,1
1,85,1085,Lowndes,6,1
1,87,1087,Macon,6,1
1,89,1089,Madison,1,1
1,91,1091,Marengo,4,1
1,93,1093,Marion,3,1
1,95,1095,Marshall,1,1
1,97,1097,Mobile,5,1
1,99,1099,Monroe,4,1
1,101,1101,Montgomery,6,1
1,103,1103,Morgan,1,1
1,105,1105,Perry,3,1
1,107,1107,Pickens,3,1
1,109,1109,Pike,6,1
1,111,1111,Randolph,2,1
1,113,1113,Russell,6,1
1,115,1115,St. Clair,2,1
1,117,1117,Shelby,2,1
1,119,1119,Sumter,4,1
1,121,1121,Talladega,2,1
1,123,1123,Tallapoosa,6,1
1,125,1125,Tuscaloosa,3,1
1,127,1127,Walker,2,1
1,129,1129,Washington,5,1
1,131,1131,Wilcox,4,1
1,133,1133,Winston,2,1
2,13,2013,Aleutians East Borough,3,2.2
