STATECD_FIA,STATE_FIA_ALPHA,STATE_FIA_ABB,STATECD_NWOS,STATE_NWOS_ALPHA,STATE_NWOS_ABB,REGIONCD,REGION_ALPHA,SUBREGIONCD,SUBREGION_ALPHA,FIAREGIONCD,FIAREGION_ALPHA
1,Alabama,AL,1,Alabama,AL,2,South,4,South Central,2,SRS
2,Alaska,AK,2.1,Alaska (Coastal),AK_COAST,4,Pacific Coast,10,Alaska,4,PNWRS
2,Alaska,AK,2.2,Alaska (Interior),AK_INTERIOR,4,Pacific Coast,10,Alaska,4,PNWRS
4,Arizona,AZ,4,Arizona,AZ,3,Rocky Mountain,6,Intermountain,3,RMRS
5,Arkansas,AR,5,Arkansas,AR,2,South,4,South Central,2,SRS
6,California,CA,6,California,CA,4,Pacific Coast,9,Pacific Southwest,4,PNWRS
8,Colorado,CO,8,Colorado,CO,3,Rocky Mountain,6,Intermountain,3,RMRS
9,Connecticut,CT,9,Connecticut,CT,1,North,1,Northeast,1,NRS
10,Delaware,DE,10,Delaware,DE,1,North,1,Northeast,1,NRS
12,Florida,FL,12,Florida,FL,2,South,3,Southeast,2,SRS
13,Georgia,GA,13,Georgia,GA,2,South,3,Southeast,2,SRS
15,Hawaii,HI,15,Hawaii,HI,4,Pacific Coast,9,Pacific Southwest,4,PNWRS
16,Idaho,ID,16,Idaho,ID,3,Rocky Mountain,6,Intermountain,3,RMRS
17,Illinois,IL,17,Illinois,IL,1,North,2,North Central,1,NRS
18,Indiana,IN,18,Indiana,IN,1,North,2,North Central,1,NRS
19,Iowa,IA,19,Iowa,IA,1,North,2,North Central,1,NRS
20,Kansas,KS,20,Kansas,KS,3,Rocky Mountain,5,Great Plains,1,NRS
21,Kentucky,KY,21,Kentucky,KY,2,South,4,South Central,2,SRS
22,Louisiana,LA,22,Louisiana,LA,2,South,4,South Central,2,SRS
23,Maine,ME,23,Maine,ME,1,North,1,Northeast,1,NRS
24,Maryland,MD,24,Maryland,MD,1,North,1,Northeast,1,NRS
25,Massachusetts,MA,25,Massachusetts,MA,1,North,1,Northeast,1,NRS
26,Michigan,MI,26,Michigan,MI,1,North,2,North Central,1,NRS
27,Minnesota,MN,27,Minnesota,MN,1,North,2,North Central,1,NRS
28,Mississippi,MS,28,Mississippi,MS,2,South,4,South Central,2,SRS
29,Missouri,MO,29,Missouri,MO,1,North,2,North Central,1,NRS
30,Montana,MT,30,Montana,MT,3,Rocky Mountain,6,Intermountain,3,RMRS
31,Nebraska,NE,31,Nebraska,NE,3,Rocky Mountain,5,Great Plains,1,NRS
32,Nevada,NV,32,Nevada,NV,3,Rocky Mountain,6,Intermountain,3,RMRS
33,New Hampshire,NH,33,New Hampshire,NH,1,North,1,Northeast,1,NRS
34,New Jersey,NJ,34,New Jersey,NJ,1,North,1,Northeast,1,NRS
35,New Mexico,NM,35,New Mexico,NM,3,Rocky Mountain,6,Intermountain,3,RMRS
36,New York,NY,36,New York,NY,1,North,1,Northeast,1,NRS
37,North Carolina,NC,37,North Carolina,NC,2,South,3,Southeast,2,SRS
38,North Dakota,ND,38,North Dakota,ND,3,Rocky Mountain,5,Great Plains,1,NRS
39,Ohio,OH,39,Ohio,OH,1,North,2,North Central,1,NRS
40,Oklahoma,OK,40.1,Oklahoma (East),OK_EAST,2,South,4,South Central,2,SRS
40,Oklahoma,OK,40.2,Oklahoma (West),OK_WEST,2,South,4,South Central,2,SRS
41,Oregon,OR,41,Oregon,OR,4,Pacific Coast,8,Pacific Northwest,4,PNWRS
42,Pennsylvania,PA,42,Pennsylvania,PA,1,North,1,Northeast,1,NRS
44,Rhode Island,RI,44,Rhode Island,RI,1,North,1,Northeast,1,NRS
45,South Carolina,SC,45,South Carolina,SC,2,South,3,Southeast,2,SRS
46,South Dakota,SD,46,South Dakota,SD,3,Rocky Mountain,5,Great Plains,1,NRS
47,Tennessee,TN,47,Tennessee,TN,2,South,4,South Central,2,SRS
48,Texas,TX,48.1,Texas (East),TX_EAST,2,South,4,South Central,2,SRS
48,Texas,TX,48.2,Texas (West),TX_WEST,2,South,4,South Central,2,SRS
49,Utah,UT,49,Utah,UT,3,Rocky Mountain,6,Intermountain,3,RMRS
50,Vermont,VT,50,Vermont,VT,1,North,1,Northeast,1,NRS
51,Virginia,VA,51,Virginia,VA,2,South,3,Southeast,2,SRS
53,Washington,WA,53,Washington,WA,4,Pacific Coast,8,Pacific Northwest,4,PNWRS
54,West Virginia,WV,54,West Virginia,WV,1,North,1,Northeast,1,NRS
55,Wisconsin,WI,55,Wisconsin,WI,1,North,2,North Central,1,NRS
56,Wyoming,WY,56,Wyoming,WY,3,Rocky Mountain,6,Intermountain,3,RMRS
